SiteNo,SPOFQuestionId,AnswerValue,OriginalMarker,DetailedComments,SourceWorkbook,SourceSheet,SourceRowNumber,SourceColumnStart,SourceColumnEnd,ValidationStatus
LAS04,4.1899999999999959,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,123,126,Valid
LAS05,4.1899999999999959,No,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,127,130,Valid
LOU02,4.1899999999999959,No,X,Belimo valves fail closed.,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,131,134,Valid
LOU03,4.1899999999999959,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,135,138,Valid
LOU04,4.1899999999999959,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,139,142,Valid
LOU05,4.1899999999999959,N/A,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,143,146,Valid
MSP01,4.1899999999999959,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,147,150,Valid
NAS01,4.1899999999999959,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,151,154,Valid
NAS02,4.1899999999999959,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,155,158,Valid
NAS03,4.1899999999999959,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,159,162,Valid
NAS04,4.1899999999999959,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,163,166,Valid
NAS05,4.1899999999999959,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,167,170,Valid
NAS06,4.1899999999999959,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,171,174,Valid
PDX01.01,4.1899999999999959,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,175,178,Valid
PDX01.02,4.1899999999999959,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,179,182,Valid
PDX02,4.1899999999999959,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,183,186,Valid
PDX03,4.1899999999999959,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,187,190,Valid
PDX04,4.1899999999999959,No,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,191,194,Valid
PHL01,4.1899999999999959,No,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,195,198,Valid
PHX01,4.1899999999999959,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,199,202,Valid
RAL01,4.1899999999999959,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,203,206,Valid
RAL02,4.1899999999999959,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,207,210,Valid
RAL03,4.1899999999999959,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,211,214,Valid
RCH01,4.1899999999999959,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,215,218,Valid
RIC01,4.1899999999999959,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,219,222,Valid
RIC02,4.1899999999999959,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,223,226,Valid
SLC03,4.1899999999999959,N/A,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,227,230,Valid
SLC04.01,4.1899999999999959,N/A,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,231,234,Valid
SLC04.02,4.1899999999999959,N/A,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,235,238,Valid
SLC04.03,4.1899999999999959,N/A,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,239,242,Valid
SLC07,4.1899999999999959,N/A,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,243,246,Valid
SLC09,4.1899999999999959,N/A,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,247,250,Valid
SLC10,4.1899999999999959,N/A,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,251,254,Valid
TPA01,4.1899999999999959,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,255,258,Valid
TPA02,4.1899999999999959,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,259,262,Valid
TPA03,4.1899999999999959,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,263,266,Valid
TPA04,4.1899999999999959,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,76,267,270,Valid
ABE01,5,Blank,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,77,7,10,Blank
