AssetId,SiteNo,SiteName,CategoryName,OverallScore,EqCriticality,EqOperatingIssues,EqRedundancy,EqServiceSupport,EqAge,SiteBusinessPriority,EqEfficiency,EqMainCost,EqLoading,ROMReplacementCost,BudgetYear,ROMCostInBudgetYear,SourceWorkbook,SourceSheet,SourceRowNumber,CalculationLayer,ValidationStatus,IsTestRecord
414,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,97,Scoring Engine -> Output- Asset Scores,Valid,false
415,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,98,Scoring Engine -> Output- Asset Scores,Valid,false
416,DEN11,Denver-Englewood,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,99,Scoring Engine -> Output- Asset Scores,Valid,false
419,PDX01.01,Portland-Hillsboro 1,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,100,Scoring Engine -> Output- Asset Scores,Valid,false
420,PDX01.01,Portland-Hillsboro 1,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,101,Scoring Engine -> Output- Asset Scores,Valid,false
421,PDX01.01,Portland-Hillsboro 1,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,102,Scoring Engine -> Output- Asset Scores,Valid,false
431,PDX02,Portland-Hillsboro 2,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,103,Scoring Engine -> Output- Asset Scores,Valid,false
432,PDX02,Portland-Hillsboro 2,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,104,Scoring Engine -> Output- Asset Scores,Valid,false
434,PDX01.01,Portland-Hillsboro 1,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,105,Scoring Engine -> Output- Asset Scores,Valid,false
435,PDX01.01,Portland-Hillsboro 1,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,106,Scoring Engine -> Output- Asset Scores,Valid,false
